smiles,formula
C,CH4
O,H2O
CC,C2H6
CO,CH4O
C=C,C2H4
C=O,CH2O
O=O,O2
C#C,C2H2
CCC,C3H8
CCO,C2H6O
COC,C2H6O
CC=C,C3H6
CC=O,C2H4O
OC=O,CH2O2
CC#C,C3H4
C1CC1,C3H6
C1CO1,C2H4O
CC(C)C,C4H10
CC(C)O,C3H8O
CC(C)=C,C4H8
CC(C)=O,C3H6O
CC(O)=O,C2H4O2
OC(O)=O,CH2O3
CCCC,C4H10
CCCO,C3H8O
OCCO,C2H6O2
CCOC,C3H8O
CCC=C,C4H8
CCC=O,C3H6O
OCC=C,C3H6O
OCC=O,C2H4O2
COC=C,C3H6O
COC=O,C2H4O2
CCC#C,C4H6
OCC#C,C3H4O
C=CC=C,C4H6
C=CC=O,C3H4O
O=CC=O,C2H2O2
C=CC#C,C4H4
O=CC#C,C3H2O
C#CC#C,C4H2
CC=CC,C4H8
CC#CC,C4H6
CC1CC1,C4H8
OC1CC1,C3H6O
CC1CO1,C3H6O
C1CCC1,C4H8
C1COC1,C3H6O
CC(C)(C)C,C5H12
CC(C)(C)O,C4H10O
CCC(C)C,C5H12
CC(C)CO,C4H10O
CCC(C)O,C4H10O
CC(O)CO,C3H8O2
COC(C)C,C4H10O
CC(C)C=C,C5H10
CC(C)C=O,C4H8O
CC(O)C=C,C4H8O
CC(O)C=O,C3H6O2
CC(C)C#C,C5H8
CC(O)C#C,C4H6O
CCC(C)=C,C5H10
CC(=C)CO,C4H8O
CCC(C)=O,C4H8O
CC(=O)CO,C3H6O2
CCC(O)=O,C3H6O2
OCC(O)=O,C2H4O3
COC(C)=C,C4H8O
COC(C)=O,C3H6O2
CC(=C)C=C,C5H8
CC(=C)C=O,C4H6O
CC(=O)C=C,C4H6O
CC(=O)C=O,C3H4O2
OC(=O)C=C,C3H4O2
OC(=O)C=O,C2H2O3
CC(=C)C#C,C5H6
CC(=O)C#C,C4H4O
OC(=O)C#C,C3H2O2
CC=C(C)C,C5H10
CC1(C)CC1,C5H10
CC1(O)CC1,C4H8O
CC1(C)CO1,C4H8O
CC1CCC1,C5H10
OC1CCC1,C4H8O
CC1COC1,C4H8O
OC1COC1,C3H6O2
CC1CCO1,C4H8O
O=C1CCC1,C4H6O
O=C1COC1,C3H4O2
O=C1CCO1,C3H4O2
CC1CC1C,C5H10
CC1CC1O,C4H8O
OC1CC1O,C3H6O2
CC1OC1C,C4H8O
CCCCC,C5H12
CCCCO,C4H10O
OCCCO,C3H8O2
CCCOC,C4H10O
COCCO,C3H8O2
COCOC,C3H8O2
CCOCC,C4H10O
CCCC=C,C5H10
CCCC=O,C4H8O
OCCC=C,C4H8O
OCCC=O,C3H6O2
COCC=C,C4H8O
COCC=O,C3H6O2
CCOC=C,C4H8O
CCOC=O,C3H6O2
CCCC#C,C5H8
OCCC#C,C4H6O
COCC#C,C4H6O
C=CCC=C,C5H8
C=CCC=O,C4H6O
O=CCC=O,C3H4O2
C=COC=C,C4H6O
C=COC=O,C3H4O2
C=CCC#C,C5H6
O=CCC#C,C4H4O
C#CCC#C,C5H4
CCC=CC,C5H10
CC=CCO,C4H8O
COC=CC,C4H8O
CC=CC=C,C5H8
CC=CC=O,C4H6O
CC=CC#C,C5H6
CCC#CC,C5H8
CC#CCO,C4H6O
CC#CC=C,C5H6
CC#CC=O,C4H4O
CC#CC#C,C5H4
CCC1CC1,C5H10
OCC1CC1,C4H8O
COC1CC1,C4H8O
CCC1CO1,C4H8O
OCC1CO1,C3H6O2
C=CC1CC1,C5H8
O=CC1CC1,C4H6O
C=CC1CO1,C4H6O
O=CC1CO1,C3H4O2
C#CC1CC1,C5H6
C#CC1CO1,C4H4O
C1CCCC1,C5H10
C1CCOC1,C4H8O
C1COCO1,C3H6O2
C1CC=CC1,C5H8
C1CC=CO1,C4H6O
C1OC=CO1,C3H4O2
C1OCC=C1,C4H6O
C1C=CC=C1,C5H6
CCC(C)(C)C,C6H14
CC(C)(C)CO,C5H12O
CCC(C)(C)O,C5H12O
CC(C)(O)CO,C4H10O2
COC(C)(C)C,C5H12O
CC(C)(C)C=C,C6H12
CC(C)(C)C=O,C5H10O
CC(C)(O)C=C,C5H10O
CC(C)(O)C=O,C4H8O2
CC(C)(C)C#C,C6H10
CC(C)(O)C#C,C5H8O
CCCC(C)C,C6H14
CC(C)CCO,C5H12O
CCCC(C)O,C5H12O
CC(O)CCO,C4H10O2
COCC(C)C,C5H12O
COCC(C)O,C4H10O2
CCOC(C)C,C5H12O
CC(C)CC=C,C6H12
CC(C)CC=O,C5H10O
CC(O)CC=C,C5H10O
CC(O)CC=O,C4H8O2
CC(C)OC=C,C5H10O
CC(C)OC=O,C4H8O2
CC(C)CC#C,C6H10
CC(O)CC#C,C5H8O
CCCC(C)=C,C6H12
CC(=C)CCO,C5H10O
CCCC(C)=O,C5H10O
CC(=O)CCO,C4H8O2
CCCC(O)=O,C4H8O2
OCCC(O)=O,C3H6O3
COCC(C)=C,C5H10O
COCC(C)=O,C4H8O2
COCC(O)=O,C3H6O3
CCOC(C)=C,C5H10O
CCOC(C)=O,C4H8O2
CC(=C)CC=C,C6H10
CC(=C)CC=O,C5H8O
CC(=O)CC=C,C5H8O
CC(=O)CC=O,C4H6O2
OC(=O)CC=C,C4H6O2
CC(=C)OC=C,C5H8O
CC(=C)OC=O,C4H6O2
CC(=O)OC=C,C4H6O2
CC(=C)CC#C,C6H8
CC(=O)CC#C,C5H6O
OC(=O)CC#C,C4H4O2
CC=CC(C)C,C6H12
CC=CC(C)O,C5H10O
CC=CC(C)=C,C6H10
CC=CC(C)=O,C5H8O
CC=CC(O)=O,C4H6O2
CC#CC(C)C,C6H10
