PUBCHEM_CID_ASSOCIATIONS,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_EXT_SUBSTANCE_URL,SMILES
62427  1,"Phenyltris(trimethylsiloxy)silane
2116-84-9",62427,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccccc1
107420  1,"1,3-DICHLORO-1,3-DIMETHYL-1,3-DIPHENYLDISILOXANE
3582-72-7",107420,,C[Si](Cl)(O[Si](C)(Cl)c1ccccc1)c1ccccc1
82138  1,"VINYLPHENYLDICHLOROSILANE
7719-02-0",82138,,C=C[Si](Cl)(Cl)c1ccccc1
233882  1,"TETRA-P-TOLYLSILANE
10256-83-4",233882,,Cc1ccc([Si](c2ccc(C)cc2)(c2ccc(C)cc2)c2ccc(C)cc2)cc1
87042  1,"PHENYLMETHYLVINYLCHLOROSILANE
17306-05-7",87042,,C=C[Si](C)(Cl)c1ccccc1
6335362  1,"1,1,5,5-tetramethyl-3,3-diphenyltrisiloxane
17875-55-7",6335362,,C[Si](C)O[Si](O[Si](C)C)(c1ccccc1)c1ccccc1
140300  1,"Silane, methoxydimethylphenyl-
17881-88-8",140300,,CO[Si](C)(C)c1ccccc1
13270357  1,"4-PHENYLBUTYLTRICHLOROSILANE
17886-88-3",13270357,,Cl[Si](Cl)(Cl)CCCCc1ccccc1
4208568  1,"1-NAPHTHYLTRIETHOXYSILANE
17938-06-6",4208568,,CCO[Si](OCC)(OCC)c1cccc2ccccc12
6335366  1,"Phenyltris(dimethylsiloxy)silane
18027-45-7",6335366,,C[Si](C)O[Si](O[Si](C)C)(O[Si](C)C)c1ccccc1
11100026  1,"Di(Naphthalen-1-yl) Dimethoxysilane
21591-48-0",11100026,,CO[Si](OC)(c1cccc2ccccc12)c1cccc2ccccc12
15532215  1,"(p-Chlorophenyl)Trimethoxysilane
35692-30-9",15532215,,CO[Si](OC)(OC)c1ccc(Cl)cc1
19372170  1,"3-PHENOXYPROPYLDIMETHYLCHLOROSILANE
69733-73-9",19372170,,C[Si](C)(Cl)CCCOc1ccccc1
71406174  1,"3-(3-Pyrenyl)Propyl Dimethyl Chlorosilane
86278-57-1",71406174,,C[Si](C)(Cl)CCCc1ccc2ccc3cccc4ccc1c2c34
53433845  1,"6-phenylhexyldimethylchlorosilane
97451-53-1",53433845,,C[Si](C)(Cl)CCCCCCc1ccccc1
13879546  1,"1,3-DIVINYL-1,3-DIPHENYL-1,3-DIMETHYLDISILAZANE
23038-10-0",13879546,,C=C[Si](C)(N[Si](C)(C=C)c1ccccc1)c1ccccc1
69878  1,"PHENETHYLMETHYLDICHLOROSILANE
772-65-6",69878,,C[Si](Cl)(Cl)CCc1ccccc1
6327628  1,"PHENYLSILANE
694-53-1",6327628,,[Si]c1ccccc1
69697  1,"P-TOLYLTRICHLOROSILANE
701-35-9",69697,,Cc1ccc([Si](Cl)(Cl)Cl)cc1
69862  1,"BENZYLTRIMETHYLSILANE
770-09-2",69862,,C[Si](C)(C)Cc1ccccc1
69891  1,"Methylphenyldiethoxysilane
775-56-4",69891,,CCO[Si](C)(OCC)c1ccccc1
74059  1,"HEXAPHENYLDISILANE
1450-23-3",74059,,c1ccc([Si](c2ccccc2)(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
6330251  1,"TRIBENZYLSILANE
1747-92-8",6330251,,c1ccc(C[Si](Cc2ccccc2)Cc2ccccc2)cc1
11094960  1,"(4 - vinyl phenyl) dimethyl silane
4556-72-3",11094960,,C=Cc1ccc([Si](C)C)cc1
580476  1,"4-Chlorobenzyl(trimethylsilyl) ether
14856-74-7",580476,,C[Si](C)(C)OCc1ccc(Cl)cc1
2760672  1,"P-TOLYLTRIMETHOXYSILANE
17873-01-7",2760672,,CO[Si](OC)(OC)c1ccc(C)cc1
15156269  1,"2-(t-Butyldiphenylsilanyloxy)Ethanol
138499-16-8",15156269,,CC(C)(C)[Si](OCCO)(c1ccccc1)c1ccccc1
70896  1,"TETRAPHENOXYSILANE
1174-72-7",70896,,c1ccc(O[Si](Oc2ccccc2)(Oc2ccccc2)Oc2ccccc2)cc1
70895  1,"1,2-DIMETHYL-1,1,2,2-TETRAPHENYLDISILANE
1172-76-5",70895,,C[Si](c1ccccc1)(c1ccccc1)[Si](C)(c1ccccc1)c1ccccc1
74588  1,"methoxytriphenylsilane
1829-41-0",74588,,CO[Si](c1ccccc1)(c1ccccc1)c1ccccc1
170302  1,"2-(METHYLDIPHENYLSILYL)ETHANOL
40438-48-0",170302,,C[Si](CCO)(c1ccccc1)c1ccccc1
2760298  1,"PENTAFLUOROPHENYLPROPYLTRICHLOROSILANE
78900-02-4",2760298,,Fc1c(F)c(F)c(CCC[Si](Cl)(Cl)Cl)c(F)c1F
66094  1,"2,2,4,4,6,6-Hexamethylcyclotrisilazane
1009-93-4",66094,,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1
66100  1,"OCTAMETHYLCYCLOTETRASILAZANE
1020-84-4",66100,,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N[Si](C)(C)N1
74110  1,"NONAMETHYLTRISILAZANE
1586-73-8",74110,,C[Si](C)(C)N([Si](C)(C)C)[Si](C)(C)C
2760506  1,"2-(2-PYRIDYL)ETHYLTRIMETHOXYSILANE
27326-65-4",2760506,,CO[Si](CCc1ccccn1)(OC)OC
18944844  1,"11-AMINOUNDECYLTRIETHOXYSILANE
116821-45-5",18944844,,CCO[Si](CCCCCCCCCCCN)(OCC)OCC
6335325  1,"TRIS(DIMETHYLAMINO)SILANE
15112-89-7",6335325,,CN(C)[Si](N(C)C)N(C)C
81957  1,"1,3-DIMETHYL-1,1,3,3-TETRAPHENYLDISILAZANE
7453-26-1",81957,,C[Si](N[Si](C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
70454  1,"N,N-Diethyl-1,1,1-trimethylsilylamine
996-50-9",70454,,CCN(CC)[Si](C)(C)C
25989  1,"N-(Trimethylsilyl)acetamide
13435-12-6",25989,,CC(=O)N[Si](C)(C)C
87498  1,"3-AMINOPROPYLTRIMETHYLSILANE
18187-14-9",87498,,C[Si](C)(C)CCCN
87575  1,"3-AMINOPROPYLDIMETHYLETHOXYSILANE
18306-79-1",87575,,CCO[Si](C)(C)CCCN
6329488  1,"TRIS(DIMETHYLSILYL)AMINE
21331-86-2",6329488,,C[Si](C)N([Si](C)C)[Si](C)C
"94462  1
313  2
94463  2","N-TRIMETHOXYSILYLPROPYL-N,N,N-TRIMETHYLAMMONIUM CHLORIDE
35141-36-7",94462,,CO[Si](CCC[N+](C)(C)C)(OC)OC.[Cl-]
3558326  1,"1-(TRIMETHYLSILYL)-1H-BENZOTRIAZOLE
43183-36-4",3558326,,C[Si](C)(C)n1nnc2ccccc21
353458  1,"N-[(Trimethylsilyl)methyl]benzylamine
53215-95-5",353458,,C[Si](C)(C)CNCc1ccccc1
21242003  1,"ACETAMIDOPROPYLTRIMETHOXYSILANE
57757-66-1",21242003,,CO[Si](CCCNC(C)=O)(OC)OC
5743595  1,"N,N,N',N'-tetramethyl-N''-[3-(trimethoxysilyl)propyl]guanidine
69709-01-9",5743595,,CO[Si](CCCN=C(N(C)C)N(C)C)(OC)OC
11324143  1,"3-(1,3-DIMETHYLBUTYLIDENE)AMINOPROPYLTRIETHOXYSILANE
116229-43-7",11324143,,CCO[Si](CCCN=C(C)CC(C)C)(OCC)OCC
2762418  1,"N-[3-(Dimethoxymethylsilyl)propyl]butan-1-amine
120939-52-8",2762418,,CCCCNCCC[Si](C)(OC)OC
15814192  1,"3-(methoxydimethylsilyl)-N,N-dimethylpropan-1-amine
142062-27-9",15814192,,CO[Si](C)(C)CCCN(C)C
9908165  1,"N-(HYDROXYETHYL)-N,N-BIS(TRIMETHOXYSILYLPROPYL)AMINE, 65% in Methanol
264128-94-1",9908165,,CO[Si](CCCN(CCO)CCC[Si](OC)(OC)OC)(OC)OC
9925638  1,"N'-(3-trimethoxysilylpropyl)hexane-1,6-diamine
51895-58-0",9925638,,CO[Si](CCCNCCCCCCN)(OC)OC
15607116  1,"N-OCTADECYLDIMETHYL(DIMETHYLAMINO)SILANE
76328-77-3",15607116,,CCCCCCCCCCCCCCCCCC[Si](C)(C)N(C)C
74599  1,"ISOPROPENYLOXYTRIMETHYLSILANE
1833-53-0",74599,,C=C(C)O[Si](C)(C)C
16225403  1,"METHACRYLOXYMETHYLTRIETHOXYSILANE
5577-72-0",16225403,,C=C(C)C(=O)OC[Si](OCC)(OCC)OCC
554662  1,"ACRYLOXYTRIMETHYLSILANE
13688-55-6",554662,,C=CC(=O)O[Si](C)(C)C
123371  1,"3-(METHACRYLOYLOXY)PROPYLTRIS(TRIMETHYLSILOXY)SILANE
17096-07-0",123371,,C=C(C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
2759527  1,"3-METHACRYLOXYPROPYLDIMETHYLCHLOROSILANE
24636-31-5",2759527,,C=C(C)C(=O)OCCC[Si](C)(C)Cl
2757281  1,"TERT-BUTYLDIMETHYLSILYLACETYLENE
86318-61-8",2757281,,C#C[Si](C)(C)C(C)(C)C
87703  1,"1,3-Bis(3-methacryloxypropyl)tetramethyldisiloxane
18547-93-8",87703,http://en.chemfish.co.jp/index.php?id=30295&project=product,C=C(C)C(=O)OCCC[Si](C)(C)O[Si](C)(C)CCCOC(=O)C(=C)C
2756731  1,"1,3-BIS(3-METHACRYLOXYPROPYL)TETRAKIS(TRIMETHYLSILOXY)DISILOXANE
80722-63-0",2756731,http://en.chemfish.co.jp/index.php?id=30294&project=product,C=C(C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](CCCOC(=O)C(=C)C)(O[Si](C)(C)C)O[Si](C)(C)C
74036  1,"VINYLPENTAMETHYLDISILOXANE
1438-79-5",74036,http://en.chemfish.co.jp/index.php?id=30291&project=product,C=C[Si](C)(C)O[Si](C)(C)C
2733229  1,"PHENYLTRIALLYLSILANE
2633-57-0",2733229,http://en.chemfish.co.jp/index.php?id=30290&project=product,C=CC[Si](CC=C)(CC=C)c1ccccc1
79316  1,"Vinyl tris(trimethylsiloxy)silane
5356-84-3",79316,http://en.chemfish.co.jp/index.php?id=30289&project=product,C=C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
80344  1,"VINYLOXYTRIMETHYLSILANE
6213-94-1",80344,http://en.chemfish.co.jp/index.php?id=30288&project=product,C=CO[Si](C)(C)C
81162  1,"methyltris[(1-methylvinyl)oxy]silane
6651-38-3",1162,http://en.chemfish.co.jp/index.php?id=30287&project=product,C=C(C)O[Si](C)(OC(=C)C)OC(=C)C
23500973  1,"1,7-Divinyl-1,1,3,3,5,5,7,7-Octamethyl Tetrasiloxane
13315-13-4",23500973,http://en.chemfish.co.jp/index.php?id=30286&project=product,C=C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C=C
87525  1,"TRIVINYLMETHYLSILANE
18244-95-6",87525,http://en.chemfish.co.jp/index.php?id=30284&project=product,C=C[Si](C)(C=C)C=C
14066969  1,"1,3-Divinyl-1,1,3,3-Tetramethoxydisiloxane
18293-85-1",14066969,http://en.chemfish.co.jp/index.php?id=30282&project=product,C=C[Si](OC)(OC)O[Si](C=C)(OC)OC
155982312  1,"Bis(perfluoro-6-vinyl-4-methyl-3,6-dioxahexyl) disulfide
2244085-29-6",155982312,http://en.chemfish.co.jp/index.php?id=20857&project=product,FC(F)=C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)SSC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F)C(F)(F)F
2736214  1,"1-Bromo-2-(2-bromo-1-chlorotrifluoroethyl)cyclohexane
232602-77-6",2736214,http://en.chemfish.co.jp/index.php?id=20856&project=product,FC(F)(Br)C(F)(Cl)C1CCCCC1Br
2774857  1,"3,3-Bis(trifluoromethyl)-4,4,5,5,6,6,6-heptafluorohex-1-yne
261503-44-0",2774857,http://en.chemfish.co.jp/index.php?id=20855&project=product,C#CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
67872  1,"4-Bromobenzotrifluoride
402-43-7",67872,http://en.chemfish.co.jp/index.php?id=20854&project=product,FC(F)(F)c1ccc(Br)cc1
14529356  1,"Bis(1H,1H,7H-perfluoroheptyloxy)methane
116146-19-1",14529356,http://en.chemfish.co.jp/index.php?id=20853&project=product,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
602634  1,"Bis(pentafluorophenyl)methane
5736-46-9",602634,http://en.chemfish.co.jp/index.php?id=20852&project=product,Fc1c(F)c(F)c(Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F
