PUBCHEM_CID_ASSOCIATIONS,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_EXT_SUBSTANCE_URL,SMILES
23278900  1,"135870-99-4
Ile-NPC
(Phenoxycarbonyl)-L-isoleucine",L01346,https://www.watanabechem.co.jp/en/search/details.php?code=L01346,CCC(C)C(NC(=O)Oc1ccccc1)C(=O)O
172408466  1,"Arg(Pbf)-NPC
Nw-((2,2,4,6,7-Pentamethyl-2,3-dihydrobenzofuran-5-yl)sulfonyl)-N2-(phenoxycarbonyl)-L-arginine",L01342,https://www.watanabechem.co.jp/en/search/details.php?code=L01342,Cc1c(C)c(S(=O)(=O)NC(=N)NCCCC(NC(=O)Oc2ccccc2)C(=O)O)c(C)c2c1OC(C)(C)C2
172408465  1,"1638884-71-5
Gln(Trt)-NPC
N2-(Phenoxycarbonyl)-N5-trityl-L-glutamine",L01340,https://www.watanabechem.co.jp/en/search/details.php?code=L01340,O=C(CCC(NC(=O)Oc1ccccc1)C(=O)O)NC(c1ccccc1)(c1ccccc1)c1ccccc1
172408464  1,"1638884-72-6
Asn(Trt)-NPC
N2-(Phenoxycarbonyl)-N4-trityl-L-asparagine",L01338,https://www.watanabechem.co.jp/en/search/details.php?code=L01338,O=C(CC(NC(=O)Oc1ccccc1)C(=O)O)NC(c1ccccc1)(c1ccccc1)c1ccccc1
172408463  1,"Asp(OtBu)-NPC
(S)-4-(tert-Butoxy)-4-oxo-2-((phenoxycarbonyl)amino)butanoic acid",L01297,https://www.watanabechem.co.jp/en/search/details.php?code=L01297,CC(C)(C)OC(=O)CC(NC(=O)Oc1ccccc1)C(=O)O
23278896  1,"21639-05-4
Gly-NPC
(Phenoxycarbonyl)glycine",L01296,https://www.watanabechem.co.jp/en/search/details.php?code=L01296,O=C(O)CNC(=O)Oc1ccccc1
57074200  1,"2230612-22-1
His(Trt)-NPC
Na-(Phenoxycarbonyl)-Nt-trityl-L-histidine",L00813,https://www.watanabechem.co.jp/en/search/details.php?code=L00813,O=C(NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O)Oc1ccccc1
28377937  1,"1104620-21-4
Met-NPC
(Phenoxycarbonyl)-L-methionine",L00317,https://www.watanabechem.co.jp/en/search/details.php?code=L00317,CSCCC(NC(=O)Oc1ccccc1)C(=O)O
"89389572  1
6228  2
81184  2","2%DBU/DMF
2% 1,8-Diazabicyclo[5.4.0]undec-7-ene in N,N-Dimethylformamide",A00162,https://www.watanabechem.co.jp/en/search/details.php?code=A00162,C1CCC2=NCCCN2CC1.CN(C)C=O
146681970  1,"2749824-37-9
Fmoc-Sar-Sar-Sar-OH
1-(9H-Fluoren-9-yl)-4,7,10-trimethyl-3,6,9-trioxo-2-oxa-4,7,10-triazadodecan-12-oic acid",R00871,https://www.watanabechem.co.jp/en/search/details.php?code=R00871,CN(CC(=O)O)C(=O)CN(C)C(=O)CN(C)C(=O)OCC1c2ccccc2-c2ccccc21
